Hour,Spot,FD1_down,FD2_down,FD1_up,FD2_up,FD1_up_percentage,FD2_up_percentage,FD1_down_percentage,FD2_down_percentage,FD_act_up,FD_act_down
171,145.740005,54.125,25.64892,1.96013,41.81089,0.016581632653061222,0.9834183673469388,0.21024967148488832,0.7897503285151117,0.0,0.0001624305555555
172,146.970001,54.125,25.64892,1.954,41.65722,0.01594387755102041,0.9840561224489796,0.21024967148488832,0.7897503285151117,0.0,0.0
173,146.880005,140.0,25.64892,1.9539,41.78742,0.01674641148325359,0.9832535885167465,0.2543424317617866,0.7456575682382135,1.1805555555532976e-06,0.0
174,146.559998,140.0,25.64892,1.95878,42.01279,0.019858781994704325,0.9801412180052956,0.2543424317617866,0.7456575682382135,0.0,0.0
175,147.179993,140.0,25.64892,1.95878,41.98698,0.019706590759798557,0.9802934092402015,0.2543424317617866,0.7456575682382135,0.0,0.0
176,153.660004,140.0,25.64892,2.92392,42.00262,0.021365638766519823,0.9786343612334802,0.2543424317617866,0.7456575682382135,0.0,0.0
177,156.070007,140.0,25.64892,0.0,41.97113,0.0,1.0,0.2543424317617866,0.7456575682382135,0.0,0.0
178,159.080002,140.0,25.64892,1.95806,41.95949,0.021619236708581513,0.9783807632914184,0.2543424317617866,0.7456575682382135,6.0486111111059945e-05,0.0
179,158.5,140.0,25.64892,1.95745,41.97616,0.02332233223322332,0.9766776677667767,0.2543424317617866,0.7456575682382135,0.0,0.0
180,158.789993,140.0,25.64892,1.95767,41.89355,0.022732288677996027,0.977267711322004,0.2543424317617866,0.7456575682382135,3.076388888887344e-05,0.0
181,156.070007,140.0,25.64892,0.0,42.02018,0.0,1.0,0.2543424317617866,0.7456575682382135,0.0,0.0
182,156.179993,140.0,25.64892,0.0,42.02019,0.0,1.0,0.2543424317617866,0.7456575682382135,0.0,0.0
183,158.889999,140.0,25.64892,15.75162,41.89044,0.054919423240033925,0.9450805767599662,0.2543424317617866,0.7456575682382135,0.0,0.0
184,161.0,140.0,25.64892,30.05898,42.05802,0.09881024400080662,0.9011897559991934,0.2543424317617866,0.7456575682382135,0.0,0.0
185,189.899994,140.0,25.64892,31.21239,42.08874,0.11208267090620032,0.8879173290937997,0.2543424317617866,0.7456575682382135,0.0,0.0
186,170.710007,140.0,25.64892,32.72471,42.1767,0.11369047619047619,0.8863095238095238,0.2543424317617866,0.7456575682382135,0.0,0.0
187,140.080002,140.0,25.64892,9.33683,41.94763,0.02205240174672489,0.977947598253275,0.2543424317617866,0.7456575682382135,0.0,0.0
188,105.07,140.0,25.64892,27.57712,41.91133,0.0868945868945869,0.9131054131054132,0.2543424317617866,0.7456575682382135,0.0,0.0
